user_ID,finishTime,Q8_1: 
50249,27/04/2021 5:05,נראה לי שצריך לנסות פעם אחת דרך שונה
53870,26/04/2021 15:26,לא אוהב שינויים
56748,27/04/2021 10:51,לתת כוח למי שבאמת עושה משהו
57583,27/04/2021 10:54,לא יודע
57819,26/04/2021 21:12,יותר מד יק
61140,26/04/2021 17:41,.
77521,26/04/2021 21:03,הכי הוגנת
85776,26/04/2021 15:04,הרוב קובע
87475,26/04/2021 15:23,אני לא אוהב מה שנהיה כאן. אבל בחירות אישיות לא יפתרו כלום; רק יסבכו כמו שהיה ב 96 ו 99
95691,27/04/2021 21:21,יותר ממוקד
96905,27/04/2021 11:25,שיטה ברורה
97664,28/04/2021 0:02,נראה לי הגיוני אחרי שכולם מתלוננים על ביבי
99940,26/04/2021 18:44,כך ניתן להזדהות עם מפלגה אך גם להשפיע על המיקום של מועמדיה ברשימה
100376,26/04/2021 15:45,הכי הולמת את אוכלוסית ישראל
100792,27/04/2021 21:47,זה יותר הוגן
101225,27/04/2021 20:05,מכיוון שלא הגענו בשיטה הנוכחית לפתרון. השיטה של דירוג תהייה מסורבלת לחלק מהאנשים. עוד פתרון זה הצבעה בשני פתקים כמו שנוסה בעבר צהובמועמד לראשות הממשלה ולבן לכנסת
103849,26/04/2021 15:12,לדעתי אבל אני לא בטוח; זה עדיף
103961,27/04/2021 18:43,החברה בישראל עדיין שבטית מאוד ושיטת הבחירות הנוכחית מבטיחה יצוג לרוב מגוון הדעות. נראה כי בשיטות האחרות יהיו אזרחים שדעתם לא תקבל ביטוי בכנסת
104034,26/04/2021 17:26,עדיף שהעם יבחר ישר את ראש הממשלה ללא תנאים של 61 חבר כנסת
106985,26/04/2021 15:04,ניתן לבחור את המועמדים שאני אוהב
107883,27/04/2021 8:09,דעות של אותם אנשים בלי איחודי דעות
108577,26/04/2021 19:39,ניתן לבחור גם את ראש-הממשלה וגם את העדיפות לשריו לפי מה שמתאים.
109090,26/04/2021 17:42,הרגל
111931,27/04/2021 21:30,ככה לא נלך לבחירות חמישיות בוודאות
113956,27/04/2021 22:08,מועמדים כראות עיני
114106,26/04/2021 15:08,כי היא מייצגת רשימה ולא אדם פרטי
114246,27/04/2021 1:24,שיטות אחרות הן פתח לקומבינות ולמתן רשימות חיסול. כמו בחירות חברי מרכז במפלגה &quot;דמוקרטית&quot;.
115617,26/04/2021 16:54,אין
118407,26/04/2021 17:53,כך אני חושב לא טוב  נשנה
118675,27/04/2021 11:05,הבוחר משפיע יותר
140443,26/04/2021 19:25,כי האינטרסים האישיים לצערי הרב גוברים על השכל הישר וטובת העם. והאינטריגיות המפלגתיות הן שמניעות לצערי הרב.
142774,26/04/2021 15:52,אני לא בטוח ששיטה זו עדיפה  אבל היא מאפשרת לקבל תוצאות מובהקות 
144626,26/04/2021 14:33,כי יש אנשים טובים ומובלים שמאבדים קולות בשיטה של מפלגות 
148761,26/04/2021 18:57,בחירות אישיות לא רלוונטיות; החלופה השלישית מורכבת מדי
148890,26/04/2021 22:56,ליבחור אדם שמתאים לתפקיד
149319,27/04/2021 6:45,כי אנחנו מדינה של אגואיסטים חמדנים גנבים ושקרנים ולשחק אותה וציאלים מאוגדים זה הצביעות הכי גדולה שלנו ובבחירות מהסוג הזה זה ישפוך עוד יותר אור על הטבע שלנו ובשביל שאנשים ירגישו את ההרגשה של כלב שחרבן על שטיח ודוחפים לו את הראש לקקי שילמד לקח
149503,27/04/2021 14:10,אין לי מושג. אני לא יודעת במה לבחור ומה יביא למצ אידיאלי..
155037,26/04/2021 15:05,כדי לקבל בכנסת נציגים האמיתים של העם היהודי
155751,26/04/2021 15:11,כי היא יכולה באמת להביא את כל הגוונים של החברה הישראלית 
156083,27/04/2021 9:54,בוחרים ראש ממשלה
162038,26/04/2021 22:34,מתלבט
162159,27/04/2021 23:27,אמין בעיני
171060,27/04/2021 22:04,עפ הרוב
171798,27/04/2021 20:43,דעתי
185747,26/04/2021 15:15,לא יודע
185848,27/04/2021 12:23,נותן יותר חשיבות לכל המעומדים
186660,26/04/2021 16:23,לא יודעת מה עדיף . בגלל זה סימנתי מתלבטת
187492,26/04/2021 18:19,נ
204597,26/04/2021 17:57,כך יש יותר סיכויים להכנס
204647,26/04/2021 19:16,כי כך כל אחד בוחר מה שהוא רוצה 
217267,26/04/2021 16:29,איזו? אני מתלבט
217766,26/04/2021 17:52,אין לי מושג
218430,26/04/2021 16:45,כי היא מצמצמת את מספר האופציות
219524,27/04/2021 22:22,ככה זה דמוקרטי יותר
230755,26/04/2021 21:11,ממוקד יותר
231053,27/04/2021 23:18,נראה לי שככה עדיף
232105,27/04/2021 22:00,לא מבינה את ההבדל בשיטות וכיצד זה עוזר
232257,27/04/2021 22:04,נראה לי יותר מוצלח
233049,26/04/2021 15:33,ככה אפשר לבחור מועמדים שאנחנו באמת רוצים
239143,27/04/2021 13:11,נראה לי שכן אפשר לבחור את הטובין ביותר 
239636,26/04/2021 19:43,לא יהיה ממשלה כי שיטת הבחירת 
241777,26/04/2021 14:47,לא יודע
242125,27/04/2021 15:36,תלוי בן אדם
242340,26/04/2021 14:56,לא יודעת . לדעתי צריך להשאיר את השיטה הנוכחית רק להגדיל את אחוז החסימה
242759,26/04/2021 16:12,הכי דמוקרטית
242805,26/04/2021 16:16,יהיה לנו סוף סוף ראש ממשלה
243278,26/04/2021 21:19,העם ייבחר את הרכב המפלגה ולא היושב בראשה
245172,26/04/2021 16:35,יצוג מקיף של אנשים הראויים להיות חברי כנסת ושרים ויהיה ניתן לסמוך עליהם
246256,26/04/2021 15:10,ברור יותר למי מכוונים
247315,26/04/2021 14:54,כל אחד לפי כוחו
247650,27/04/2021 8:41,ישיר
248961,27/04/2021 21:28,נותן משקל לכל הדעות
249243,26/04/2021 22:44,למנוע בחירות אינסופיות
249536,26/04/2021 22:21,תיצור הכרעה
250225,26/04/2021 23:05,קשה לבחור מנהיג ללא עוזרים
250479,27/04/2021 9:55, מתלבטת; הכל שחיתות ושום דבר לא אמין
250792,26/04/2021 16:03,אדם נבחר עפ&quot;י כישוריו 
262272,27/04/2021 7:21,לדעת איזה מנהיג ינהיג אותנו בוודאות
264246,26/04/2021 15:17,צמצום ל 2-3 מפלגות
266277,27/04/2021 17:21,האמת שלא הבנתי את האפשרות בצורה ברורה. אבל המצב הקיים נורא ואיום
266519,27/04/2021 10:09,אחרי שביבי יצא מהמערכת אין לי בעיה שיהיו בחירות אישיות למרות שאני לא בטוחה שזה יוציא אותנו מהפלונטר של השיוויון בין הגושים... כרגע; כשביבי עדיין שחקן; לא הייתי רוצה בחירות אישיות בגלל הסיכון שהוא יבחר.
267030,26/04/2021 15:24,כי לא היו בחירות חוזרות
267143,27/04/2021 12:36,הכי יציב
267500,27/04/2021 22:46,כי כך אפשר להשפיע גם על סינון חברי הכנסת והשרים. מועמד שממש אינו ראוי לא יקבל קולות מהציבור ולא יהיה חלק מהממשלה ע&quot;י אי בחירתו; ויש מועמדים שנראים ראויים אך המפלגה שלהם לא; וכך אפשר לבחור ישירות אותם. תהייה יותר הומגניות בהרכב ולא משהו שהוא ימי או שמאל קיצוני
267520,26/04/2021 20:20,עדיף שיהיו 2 מפלגות גדולות כמו בארה'ב במקום הרבה מפלגות קטנות שעושות בלגן
267661,26/04/2021 15:35,.
268485,27/04/2021 22:19,ahyv abhv
269169,26/04/2021 19:58,ככה נמנע בחירות נוספות
269324,27/04/2021 5:25,כי בד&quot;כ כל רשימה כוללת אנשים שפחות מתאימים לי; ובשיטה הזאת אפשר לסנן אותם.
269325,26/04/2021 18:03,אינני יודע
270332,26/04/2021 15:05,אפשר לקבל חוות דעת
270500,27/04/2021 7:44,רק ככה הבחירות ייפסקו ויהיה ראש ממשלה
270922,26/04/2021 15:09,צריך לתת ביטוי למגוון הדעות והקבוצות שקיימות במדינה
270975,27/04/2021 23:37,...
283479,26/04/2021 17:12,מאוד ברורה
283714,26/04/2021 19:47,רשימה אחת מאוחדת ולא נפרדתשלא יווצר מצב של ראש ממשלה שכל ממשלתו מורכבת מרשימה אחרת
284506,26/04/2021 20:40,מאפשר תמיכה יותר חזקה במועמד הרצוי
360094,26/04/2021 18:04,כך יכנסו הכי מתאימים
361097,27/04/2021 3:52,מתלבט 
362017,27/04/2021 23:44,כי אז אפשר לומר בוודאות מי לא רוצמם בשום אופן. זה ברור לכולם במיידי
362368,27/04/2021 7:49,יותר אישי
363104,26/04/2021 23:51,מתלבט
379866,27/04/2021 21:49,בחירה ישירה
380297,26/04/2021 16:34,כי השיטה הנוכחית נמאסה 
381339,26/04/2021 23:44,יש אנשים שהייתי רוצה בכנסת וכך יש לי יותר שליטה להכניס אותם
381872,26/04/2021 16:57,זו השיטה הנהוגה גם כיום בכל מקרה.. גם אם היא לא רשמית; כל אחד מצביע לראש המפלגה ולא למפלגה עצמה
382440,26/04/2021 16:21,כי מייצגת באמת רצונות. למרות שאין קואליצייה
383254,27/04/2021 6:58,לכול שיטה חסרונות ויתרונות
383465,26/04/2021 14:34,לא יודע
383536,27/04/2021 21:35,הכי נכון
383998,26/04/2021 22:54,נראת הגיונית
385470,27/04/2021 11:03,כדי להביא לתוצאה 
386105,26/04/2021 15:06,לא יודעת
388074,26/04/2021 16:23,הכל גרוע
439601,26/04/2021 18:20,כי בוחרים דרך ולא איש
440520,27/04/2021 6:55,כדי לא לתת אפשרות אפילו לבחירות נוספות ולהקים ממשלה כעט.אם יאשרו דבר כזה נמצא את עצמנו במערכה נוספת של בחירות. אני באופן אישי כבר לא אגש להצביע.
440724,26/04/2021 19:25,כך מקבלים ראש ממשלה שאני בוחר 
441745,27/04/2021 11:27,.
514264,26/04/2021 14:50,כניסוי
515371,27/04/2021 3:12,השיטה הנוכחית מראה שהיא גרועה.   מימלא בוחרים היום מיפלגה לפי המנהיג שלה 
519301,27/04/2021 10:17,יש דירוג של המועמדים לראשות הממשלה ולכנסת
520136,27/04/2021 13:38,שיש בחירות דמוקרטיות ולא כל אחד יכול להיכנס על דעת ראש המפלגה
520145,27/04/2021 21:16,נשמעת סבירה
520808,27/04/2021 10:54,זו השיטה הכי דמוקרטית נכון להיום לדעתי
522452,26/04/2021 14:51,היא לא 
523460,27/04/2021 11:26,אין דעה
524989,26/04/2021 21:32,מתלבט
526186,26/04/2021 16:34,מפלגה שתוביל את הממשלה
527519,26/04/2021 15:49,כי זה יהיה ספציפי
528101,26/04/2021 15:11,עדיף לבחור אנשים מסויימים שעובדים עבור העם ולא את כל הרשימה
539106,27/04/2021 22:16,לא יודעת מה עדיף
540716,27/04/2021 5:10,כי יש לבצע שינוי בכדי לחסוך בחירות נוספות
541187,26/04/2021 17:30,א הכי טובה
541313,26/04/2021 18:48,כדי שתהיה פה ממשלה כבר לאחר 4 בחירות מיותרות
545379,26/04/2021 20:35,אפשר לבחור גם מי ראש הממשלה וגם עוד מועמדים ולא רק מפלגה
545413,27/04/2021 13:26,שאפשר לבחור את מי שנבחר לפי רוב קולות; ולא לפי איך שדירגו אותו בפריימריז. 
548057,27/04/2021 11:27,רק ביבי
548237,27/04/2021 6:28,ככה מנהיג את העם מי שבחר בו העם
548255,27/04/2021 23:15,לאור המצב כדי שתהיה הכרעה
548912,26/04/2021 17:44,עד שבונים ממשלה לראש ממשלה הרגו אותנוו
550801,26/04/2021 17:27,לא יודע
552104,26/04/2021 15:12,ככה נוכל להצביע לאנשים שפועלים באמת לטובת האזרחים- ולא ייכנסו לרשימות כל המפוקפקים שרק גורמים נזק ולא תורמים.מהלך כזה יחייב את הקבוצות באוכלוסייה להבין ולדאוג להצבעה לנציגים שייפעלו למענם- וכך הנציגים באמת ייצגו את העם ויהיו מחויבים אליו(מי שלא תפקד לא ייבחר שוב)
552486,26/04/2021 14:30,בוחרים במפלגה ולא בבן אדם
560677,27/04/2021 10:53,לא יודעת
561801,26/04/2021 16:20,לא  הגעתי להחלטה
563670,26/04/2021 15:07,אני לא מאמין בבחירות ובפוליטיקה; בשום שיטה שהיא.
579894,28/04/2021 8:49,רצוי לבחור מועמד לראש הממשלה ולא מפלגה
583868,27/04/2021 7:05,יותר יציבות
585160,27/04/2021 20:50,כי כך יש יצוג לכל המועמדים ולא רק ל7 אלו שנתנו להם יצוג בשאלון. בחרתי עפ מה שהייתי בוחרת עפ הוראת רבותי.עפ רצוני החופשי הייתי מצביעה לדרעי.וגם יש לי פתרון למשבר העכשוי להביא דמות מחוץ לפוליטיקה הישראלית כמו גארד קושנר לראשות הממשלה
586667,27/04/2021 21:25,לבחור ראש ממשלה בלי מפלגה
586802,27/04/2021 7:49,בפולטיקה שלנו אני לא יודע מה עדיף
587005,27/04/2021 20:43,לא יודעת
588601,27/04/2021 9:02,השיטה הזאת מאפשרת לדרג עוד כמה מועמדים וכך לאסוף יותר נתונים מכל הבוחרים ולקבל תשובות מפורטות יותר שישפיעו על בחירת ראש הממשלה והשרים
589358,26/04/2021 17:43,בוחרים במי שהכי סומכים עליו; שהוא יחליט את ההחלטות שבזכותן בחרת בו מלכתחילה.
589391,26/04/2021 14:52,מאפשרת חופש בחירה
590378,26/04/2021 20:55,יש כח לצפלגה ולא למועמד ספציפי
591207,26/04/2021 23:30,ככה בוחרים את מי שראוי בעיניך ולא רשימה שלמה שלא בחרת אלא יור המפלגה שיבץ
591340,27/04/2021 9:44,מפני שאז לא מתלבטים ובוחרים רק באחד
597943,26/04/2021 16:31,הכי מהיר להגיע לממשלה
605349,26/04/2021 15:12,הייתי בוחר באדם אחד ושיקים ממשלת טכנוקרטים
609230,27/04/2021 1:51,ע
609243,27/04/2021 6:50,למקם את האנשים המתאימים
609289,27/04/2021 20:01,מראה מי מעדיפה
616942,26/04/2021 18:42,יש מגוון רחב של אפשרויות 
617920,27/04/2021 11:30,כי רטב המפלגות למעשה בנויות על אדם אחד שאחריו מועמדים שהוא בחר ומסכימים עם הדרך שלו ויש גם השפעה על האפשרות השניה במעדה והמועמד שבחרנו לא זוכה
618754,27/04/2021 6:39,היא משקפת את בחירת הרוב.בשיטה הישירה; הכח של המפלגות הקטנות גדל ושיתק את פעילות הממשלה; תלמדו מהעבר; בחירות בסוף המאה הקודמת
634378,26/04/2021 14:29,שיהיו מגוון של קולות
635265,27/04/2021 10:43,לא יודע
640314,26/04/2021 18:59,כי זה רק יכול להכריע את כל המשא ומתן של היום ויפסיקו את החרמות
649322,27/04/2021 21:51,ממוקד יותר
672925,26/04/2021 16:44,מפלגה זה לבחור בכמה חכים ולא לבחור רק 1 
672977,26/04/2021 18:10,עדיף אישיות על פני מפלגה
674534,26/04/2021 19:47,ה יודע 
674976,27/04/2021 20:54,כי בבחירות אישיות ייתכן מצב שייבחר ראש ממשלה בלי כוח בכנסת להעביר את רעיונותיו.
676732,27/04/2021 11:36,ראינו שזה לא עבד עד עכשיו; יאללה להתקדם
677279,26/04/2021 19:52,kלא יודעת
702254,26/04/2021 14:52,מאחר ולא עלתה אפשרות לבחירה נפרדת לראשות הממשלה (מבין נספר מועמדים) ובחירה למפלגה עבור שאר חברי הכנסת
703116,26/04/2021 16:23,יהיה סוף לסאגה
704131,27/04/2021 11:35,לא תומכת בדיקטטורה
704144,26/04/2021 16:44,משקף
704151,28/04/2021 9:17,כי זה תמיד הייתה השיטה
712309,27/04/2021 15:17,אני חושבת שאנחנו צריכים לחשוב מי ירכיב את הממשלה שלנו ואולי לכפות את הכנסת על ראש הממשלה. שני פתקים - רוה&quot;מ שיבחר ברוב קולות ומפלגות שיאיישו סך הכל 120 מושבים בכנסת
722802,26/04/2021 17:46,כי כך אני בוחר במצע וברעיון ואידיאל מסויים ופחות באדם עם אופי
749535,26/04/2021 19:14,בפרימריס מפלגתי תמיד ניתן להחליף מועמד
750973,27/04/2021 18:23,אפשר לבחור מספר מועמדים שרוצים; לא צריך לבחור במפלגה שלמה כי במקרה כזה יש כאלו שלא רוצים חלק מהמועמדים אבל בחרו במפלגה מסויימת כי רוב המתמודדים רצויים מבחינתם. אם היה אפשר לדרג את המועמדים הרצויים בכל מפלגה אני חושבת שזה היה יכול להיות הרבה יותר יעיל גם כדי לראות את הדעה של האנשים לגבי כל מתמודד וגם כדי לעשות את הבחירה הנכונה ולהשאיר את המתמודדים שהציבור באמת רוצה ולא את אלה שייבחרו רק כי הם נמצאים במפלגה.
751263,27/04/2021 8:17,הכי טוב
751443,26/04/2021 15:17,ממוקדת ופשוטה. הרבה אנשים לא מכירים את רוב חברי המפלגה שהם בוחרים ולכן צריך מועמד אחד לכל מפלגה.
753361,27/04/2021 17:00,.
758608,27/04/2021 22:23,עדיף מועמד אחד ; חוסך סף למדינה וככה לא נכנסים 120 בטלנים לכנסת
758640,27/04/2021 9:48,לכל מנהיג עדיף שיהיו לו עוד אנשים מאותה מפלגה
777650,27/04/2021 17:01,ככה אפשר לבחור במי שמייצג את הדעות שלך בצורה הטובה ביותר ולסמוך על בן אדם שאתה מאמין לו ובו
784640,26/04/2021 23:35,בחירות אישיות לראשות ומפלגטיות 
784832,27/04/2021 7:09,אין צורך בהטלת מנדט
792759,26/04/2021 15:08,לא צריך לשנות כלום כמו שהיו ההצבעות עד עכשיו שיהיו גם בעתידכל אחד יודע איזה ראש ממשלה הוא מעדיף ואיזה מפלגה הוא רוצה
792825,26/04/2021 18:55,שיטה מייצגת בצורה רחבה
794326,27/04/2021 19:21,שכל אחד ידע כמה הוא אהוב על פני הציבור
801236,27/04/2021 11:21,ככה מתייחסים לכל המועמדים ולא בוחרים רק אחד
805713,26/04/2021 15:05,אנשים טובים ייבחרו
808730,28/04/2021 6:40,כי עדיף לבחור מפלגה מסויימת עם דעות שונות מאשר מועמד אחד 
813845,26/04/2021 15:07,כיוון שבחירה ישירה יכולה להוביל לשחיתות ולכוח של בן אדם שלא בהכרח נכון שיהיה ראש ממשלה.בבחירה למפלגה נותנים את הכוח למפלגה
821213,27/04/2021 21:25,.
821258,27/04/2021 9:13,עדיך ישיר
824908,26/04/2021 18:21,כי זה הכי צודק מי שיקבל הכי הרבה מנדטים צריך להיות ראש ממשלה לא יתכן מצב כמו היום בנפטלי בנט עם 7 מנדטים יכןל להיות פתאום ראש ממשלה
825032,26/04/2021 18:55,עדיין לא החלטתי איזו שיטה תתן את האפשרות להקמת ממשלה
826571,27/04/2021 10:48,אין פה שלטון יחיד. יש פה קשת דעות. 
826757,26/04/2021 15:03,יפתור את הפלונתר
829755,26/04/2021 15:34,יותר החלטי
829836,26/04/2021 15:38,היא נותנת ביטוי הכי טוב לדעות המצביע
831356,26/04/2021 15:04,מועמד צריך לייצג את המפלגה שבא הוא עומד לא יכול להיות מצב שמפלג מסויימת נבחרת אבל ראש הממשלה מגיע ממפלגה אחרת 
831553,26/04/2021 15:15,הדרך היחידה בה ניתן לבחור אידיאולוגיה ובה למפלגות יש אחריות
831592,27/04/2021 17:26,כי זה יותא אמיתי ויותר דמוקרטי כי יש לנודעות אישיוצ גם על המועמדים ולא רק על המפלגה באופן כללי וכרע אין אפשרות השפעה על בחירת המועמדים למפלגה על רק המפלגה  באופן כללי
831621,27/04/2021 22:10,אני לא חושבת שאף אחת מן השיטות מספיק טובה
832058,27/04/2021 14:35,מאפשרת ייצוג הולם לציבורים שונים ולא הופכת לפריימריז אחד ענקיים
833247,27/04/2021 23:30,.
833352,27/04/2021 16:20,מעדיפה מועמדים על פני מפלגה שלמה
833759,26/04/2021 20:38,מייצגת הכי טוב מי הכי קרוב אלי בדעות
836452,26/04/2021 21:21,כדי שלא יהיה פה שלטון מתמשך או שלטון דיקטטורי. מבחינתי שיהיו בחירות מפלגתיות; אבל שיהיה ניתן לבחור על פי דירוג אישי את הרשימה לכנסת של אותה מפלגה. כמו כן צריך שיהיו בחירות ישירות לראשות הממשלה; במסגרתם צריך לאפשר לבחור על פי דירוג של העדפה אישית ראש ממשלה שעליו יוטל הרכבת הקואליציה; במסגרת הבחירות הישירות צריך לעשות סבב שני של בחירת ראש ממשלה שבו שני המועמדים המובילים יתחרו ראש בראש. לאחר שמישהו נבחר בבחירה ישירה אחרי הסיבוב השני צריך להקל עליו בהקמת הקואליציה כי הוא הנציג של העם לאחר הסיבוב השני. צריך להגביל את כהונת ראש הממשלה ל-2 קדנציות או לשמונה שנים לכל היותר ולבטל את הדבר שנקרא ראש ממשלה חליפי; מספיק מה שהיה פעם: סגן. לחוקק חוק יסוד שאוסר על ראש ממשלה; נשיא וראש עיר גדולה לכהן עם כתב אישום. אם כל זה לא יעזור; אז אולי לנסות להעלות את אחוז החסימה; ואם גם זה לא יעזור; אז אולי לצמצם את מספר המפלגות לשניים. כל חוקי מניעת השחיתות צריכים להתחוקק בכל מקרה. צריך לחוקק חוקה שתעגן בחוק יסוד את עקרונות הדמוקרטיה המורחבים; את זכויות האדם והאזרח המורחבים; ואת צביון רוח מגילת העצמאות; ואת הפרדת הדת מהמדינה; ואת עקרונות הפרדת הרשויות והפיקוח ההדדי החיוני; ואת חוקי מניעת השחיתות הציבורית.
836722,26/04/2021 22:52,כי זה נותן לדעות שהכי נבחרות בעם להיות בממשלה ולקדם את הדעות שעל פיהן נבחרו
836729,27/04/2021 7:30,לנסות דרך חדשה
836847,27/04/2021 21:41,אנשים שונים ודעותינו שונות עלהים
837051,27/04/2021 8:48,לא יודע
838065,27/04/2021 9:11,לא יודעת 
838520,26/04/2021 15:06,אפשר לייצב את דעותיך השונות ולהצביע למספר מועמדים חיוביים בעיניך גם אם הם מפוזרים במפלגות שונות
839474,27/04/2021 20:01,ככה החלטה לא על בן אדם אחד אלא על צוות
839553,27/04/2021 21:37,אולי. יערה אישית כיון שכח שיטה אחרת תביא למצב הקייים שהוא בלתי נסבל
839919,26/04/2021 14:58,אני כבר לא יודע מה אני מעדיף
842557,27/04/2021 11:00,לא משנה לי
843280,26/04/2021 16:06,אין ברירה ככה נגיע לבחירות עשיריות 
843335,27/04/2021 7:41,בחירה אישית היא הכי מדוייקת
843427,26/04/2021 17:18,רגיל להצביע ככה
843522,26/04/2021 16:42,מתאים ביותר לתקופה 
848822,26/04/2021 20:54,כי יש יותר מדי מפלגות
848840,26/04/2021 15:10,..
849095,27/04/2021 21:28,מבלבל
849338,26/04/2021 15:00,השיטה מאפשרת לכל אחד להשפיע על זהות הממשלה וערכיה; גם אם המפלגה בה בחר לא זכתה בבחירות
850138,27/04/2021 22:31,כי זו דעתי
850994,26/04/2021 19:44,כדי שלא יהיו הפתעות לאחר הבחירות
852731,26/04/2021 21:49,הכי תואם בשלב זה
852869,26/04/2021 23:52,ככה יש אופציה לבחור במועמד מסויים שהוא לא בהכרח יו&quot;ר הסיעה; ויכול למנוע סכסוכים פוליטיים ולקדם הקמת ממשלה באופן מהיר יותר
852940,26/04/2021 14:56,יותר ספציפית..מצד דני נותנת אפשרות לכל אחד להתבטא ולהשפיע על המפלגה שבוחר
868074,26/04/2021 22:53,כי המועמד הוא הקובע לא המפלגה
868526,27/04/2021 7:05,בשיטה זו; הציבור באמת בוחר את נבחריו; נבחרי העם; ולא הפוליטיקאים שמכתיבים לעם את הרכב המפלגות וסדר המקומות של חבריהם.
869583,26/04/2021 16:52,לא תלויים בדילים פוליטיים 
869628,27/04/2021 13:29,זה מה שאנחנו רגילים אליו. בגלל שהמצב במדינה רגיש מבחינת הבחירות וגם מכל מיני סיבות אחרות; יהיה קשה ומסובך להתחיל עם שיטת בחירות אחרת שכולם יקבלו
876053,28/04/2021 6:08,לא החלטתי
876188,26/04/2021 17:50,לא הכי מבינה בזה
876979,27/04/2021 22:11, מתלבטת
878171,28/04/2021 7:06,יותר נוח וככה כולם יצאו להצביע
878363,26/04/2021 14:52,ועאטוע
