user_ID,finishTime,Q6_1: 
1535603,01/03/2024 8:24,אין פרוט
1545041,29/02/2024 14:02,כל דין ודברים עם נאצים פוגע בכל היהודים בכל מקום.צריך לשטח את עזה עד ש מנהיגים שלהם יצאו עם ידיים למעלה ויתחננו להחזיר את החטופים.בינתיים לא הראו אות חיים מהם.אין עם מי לדבר!רק להחריב אותם יעזור למי שעדיין חיי;מה שנראה שאין אנשים חיים
1545292,01/03/2024 10:22,כי הם גופינהבטחון מבינים יותר מאחרים ומקצועיים
1557977,29/02/2024 12:50,אין יותר
1558462,29/02/2024 14:24,אין
1565333,01/03/2024 10:20,אין לי פירוט
1567127,29/02/2024 14:59,החלטה של הצבא 
1571450,01/03/2024 21:48,تت
1579379,29/02/2024 13:44,כל החטופים בחוץ בלי הפסקת מלחמה
1579894,29/02/2024 15:47,זה נושא מאוד מורכב ששום צד לא יצא בו מרוצה 
1597087,29/02/2024 18:44,אני חושבת שחייב חייב להחזיר את החטופים במהרה אבל לא להפסיק ליותר מידי זמן את הלחימה 
1597104,29/02/2024 16:07,אין מה לפרט
1597165,29/02/2024 22:52,זה דבר רגיש ביותר שיש עבורו חילוקי דעות מכל העם כל אחד לפי האמונה שלו או הקו הפוליטי או הדתי או החברתי לכן ממומלץ להיות פאנל סגור של השבכ והמוסד שיחליטו
1603345,01/03/2024 23:45,על כל הישראלים לחזור למשפחות שלהם
1604348,29/02/2024 21:49,אין
1606139,29/02/2024 13:38,זה נוגע לכל העם
1619970,01/03/2024 21:39,........
1626905,29/02/2024 19:48,השבויים צריכים להיות ראשונים ושהחיילים יחזרו הבייתה בריאים ושלמים
1627362,29/02/2024 14:35, למדינת ישראל חשוב יותר מכל החזרת כל החטופים החיים והמתים.2 להמשיך לשטח את עזה כולל רפיח ולהחזיר את התושבים לבתיהם.שיחיו לבטח ללא כל פחד והרתעה מצד חמאס. יום
1627415,01/03/2024 11:00,העם הוא החלק הכי רגיש בעניין וכל חטוף וכל נהרג לא משנה באיזה צד זה הפסד ענק 
1628250,01/03/2024 2:00,לפי הרוב
1636957,01/03/2024 8:55,צריך. לשאול לדעתו של רוב העם; מה הוא חושב לגבי שחרור אסירים; כי בסוף זה הגורל של כולנו. המחבל שישתחרר היום עלול להיות הרוצח שלי מחר 
1638893,29/02/2024 12:58,אין צורך
1640338,29/02/2024 22:36,יש לישראל כוח ויכולת לעמוד על עמדה קשוחה בנושא האסירים ויתרון צבאי וכלכלי 
1641509,29/02/2024 21:35,הנושא סופר חשוב
1642116,29/02/2024 22:04,"לפעול לפי המחצת שב""כ"
1652010,29/02/2024 21:15,"לבדוק מה הדיעה של העם ולא החלטה של 120 ח""כ"
1652033,01/03/2024 14:12,אין מה לפרט גם כך דעתי בנושא הזה לא תשנה החלטות מדיניות בדרג עליון
1652057,29/02/2024 21:18,שחרור החטופים  הכי חשוב מהכל
1652064,29/02/2024 22:17,נבחרי העם הרי
1652096,01/03/2024 5:38,נשאל עם
1652187,29/02/2024 18:09,הרמטקל צריך להחליט ולא ראש הממשלה
1652204,01/03/2024 9:49,גורמים מקצועיים ולא פוליטיים
1652465,29/02/2024 20:08,אנו. רוצים שלום
1653738,29/02/2024 20:45,שחרור חטופים בהקדם
1653748,29/02/2024 18:44,א
1654099,29/02/2024 17:47,"מי ה""שבויים""?  ההשוואה בין אסירים לחטופים איננה מקובלת!  עיקרונית שיחרור אסירים מהווה עידוד לתהליכי חטיפה עתידיים - גלעד שליט והתוצאה ..... "
1657008,29/02/2024 14:43,אין תוספת
1657030,29/02/2024 18:32,צריך שיהיה רוב של חברי הממשלה 
1657195,29/02/2024 16:33,אין מה להוסיף
1657365,29/02/2024 14:00,חשוב לשחרר אותם
1658942,29/02/2024 13:19,אין בידי הקהל הרחב את כל המידע כדי להחליט ולכן אני סומך על הקבינט המצומצם.
1658996,29/02/2024 19:13,אין מלפרט
1659108,29/02/2024 18:05,כגבבבב
1659356,29/02/2024 18:39,לא
1660531,29/02/2024 16:47,זהו
1660659,29/02/2024 14:52,חובה להשיבם
1661110,29/02/2024 14:36,צריך לעשות הכל כדי להחזיר את השבויים;אבל לא בכל מחיר כי חמאס מנצל זאת וראינו כבר מה קרה בשיחרור אסירים קודמים שחזרו לעסוק בטרור 
1661116,29/02/2024 18:22,זה לא יקרה כי את נתניהו מעניין ה 64
1661673,29/02/2024 12:42,חייב להפסק את המלחמה 
1662026,29/02/2024 17:57,לא להפסיק את הלחימה
1670265,29/02/2024 15:59,השבכ יודע טוב יותר מאזרחי המדינה על המצב הבטחוני 
1673231,29/02/2024 13:56,החזרת החטופים והנעדרים הכוללת חיילים ואזרחים בעדיפות עליונה. ולא לשכוח את הדר גולדי ואורון שאול.
1673426,01/03/2024 12:45,45
1673579,01/03/2024 21:38,אין עזקה איתם
1673663,29/02/2024 11:46,ייייי
1674846,29/02/2024 18:49,חשוב לשחרר את כל החתופים בכל מחיר
1674860,29/02/2024 18:12,עדיף מאשר שיקולים פוליטיים
1719001,29/02/2024 20:38,מה שסימנתי
1719393,29/02/2024 14:41,הם היחידים שיודעים מהן ההשלכות על בטחון המדינה
1719406,29/02/2024 15:27,לא מעניין
1721139,29/02/2024 14:35,צריך להגיע במהירות לעסקה שתביא לשחרור כל החטופים ולשם כל מחיר שיידרש עבור השחרור
1798944,01/03/2024 9:55,בגלל הרגישות
1798951,01/03/2024 10:20,4
1800110,29/02/2024 14:18,להחזיר צהל את כל מנוי הלחץ  שהתפוגגו . מכבד ואוהב את ביידן מאוד ; אלא שחייבים לקיים אתו דיון נוקב . ולפחות לזמן מסוים להפסיק את הסיוע ההומניטרי שכלל לא מגיע לחוטפינו ושלא יספרו לנו סיפורים שאין להם מה לאכול . כי הכל אצל החמאס . שייצאו נגדו ומהר. הוא מונע את המזון מהאוכלוסייה שלו. 
1800492,29/02/2024 20:41,משאל עם זאת הדרך הטובה ביותר להתמודד עם שאלה כזאת
1808676,29/02/2024 16:49,אין משהו מיוחד
1809197,29/02/2024 15:20,"שחרור השבויים במעלה הכי גבוהה אך צריך לבדוק את הנסיבות ע""י מקבלי ההחלטות שאף אחד לא יכול להתיימר להתחלף איתם וזאת במטרה להשיג את הניצחון שיאפשר חיים תקינים לתושבי ישראל "
1809291,29/02/2024 13:39,צריך לתת ביטחון במדינה
1809548,02/03/2024 19:07,ארגונים שאני סומך עליהם
1809751,29/02/2024 16:43,thi
1809937,29/02/2024 14:42,להסתמך על השבכ והמוסד ולהחזיר קודם כל את החטופים זה חובה
1810298,29/02/2024 13:48,השבק והמוסד הם הגופים שעליהם לעסוק בסוגיה זו
1810377,29/02/2024 23:31,מממ
1810549,01/03/2024 0:07,"ההחלטה היא צריכה להיות החלטה מדינית וביטחונית; השב""כ יודע מצוין."
1810593,29/02/2024 15:46,חיי אדם חשובים ולא צריך לחשוב פעמיים 
1810683,29/02/2024 13:57,לצורך עיסקת שבויים
1810990,01/03/2024 9:01,מאחר ואני לא סומכת בכלל על מקבלי ההחלטותקשה לי להחליט מי אני רוצה שיקבע איך להתנהל
1811014,29/02/2024 15:17,שחרור כל החטופים במחיר של שחרור אסירים ומיד חזרה ללחימה לחיסול החמאס סופית 
1811318,29/02/2024 21:46,חייב לשחרר אותם עכשיו
1811479,29/02/2024 14:44,רק אנשי הקבינט צריכים להגיע להחלטות בלי אנשים מסביב שלא שייכים לקבינט
1819472,29/02/2024 20:40,לא יודעת
1829361,29/02/2024 15:40,יש להחזיר את החטופים בדרך חכמה שלא תפגע בביטחון המדינה
1829418,02/03/2024 1:16,שום חטוף לא שווה חיים של ישראלים שירצחו בגלל מחבלים שיצאו מהכלא 
1829574,01/03/2024 17:01,חושב אפילו שצריך לעשות משאל עם
1829687,29/02/2024 14:37,צריך לרדת על הברכים על מנת לשחרר את כל החתופים.
1829693,29/02/2024 13:44,כך נראה לי
1849710,29/02/2024 16:56,אין פירוט נוסף
1855252,01/03/2024 9:44,לא לתת לקיצוניים של הכנסת להחליט
1855462,29/02/2024 14:41,הצבעה בכנסת על מנת שההחלטה תהיה בהסכמה רחבה ככול היותר. באופן חריג הייתי מאפשר גם משאל עם תוך הדגשת הצורך לבחירות באופן מיידי
1855560,29/02/2024 14:41,תנו לצהל לנצח - למוטט את הטרור שמאיים על ישראל מכל הגזרות
1856169,29/02/2024 20:58,ט
1856294,29/02/2024 18:09,הרוב קובע
1859725,29/02/2024 15:05,חשוב לתת לעם להיות חלק בהחלטות כה חשובות
1859804,29/02/2024 22:15,כואב על החטופים ושאף הורה לא יחווה את זה היה צריך להחזיר אותם מהיום הראשון כואב על המשפחות 
1859919,29/02/2024 17:54,צריך להביא לשחרור כל החטופים כולל גולדין ואורון שאול ללא תנאים. להראות שליטה במלחמה.
1860023,29/02/2024 17:05,הסכמה של כנסת ישראל 
1860427,29/02/2024 20:37,ככל שישנם פחות אנשים כך הסיכוי להדלפה ולשיבושים בהמשך פוחת
1861128,29/02/2024 15:47,חברי הכנסת מחליטים יותר הם נציגי הציבור וגם המשפחות של הנחטפים
1861137,29/02/2024 15:52,הרוב מעוניין בהחזרת השבויים 
1861164,29/02/2024 19:05,שיחרור החטופים נינו העדיפות עליונה אבל אסור להפסיק את הלחימה אחרת 7 באוקטובר  יחזור על עצמו וכל השגי צהל ימחקו . במקביל יש לדאוג גם לתושבי הצפון שאצלם המלחמה הולכת ומתגברת וטרם נמצא פיתרון  לחיזבלה 
1861188,02/03/2024 15:32,אין
1863866,29/02/2024 18:18,"מי שנפגע מאס התאריך 7/10 ועוד הרבה שנים אחורה . הם אנחנו האזרחים.  בנוסף יש הורים לחטופים שהם בעצמם נגד עסקת שבויים . בסופו של דבר מי שנםגע בלי שום קשר לאיקוע שהיה זה אנחנו האזרחים.. שיחרנו מחבלים ימותו חנו יותר אזרחים. ועכשיו כשאני רושם את זה היה פיגוע של ""שוטר"" פלסטיני בתחנת דלק בעלי עם נשק שיצחק רבין נתן.. אז תגידו לי אתם מי צריך להצביע? בזמן שהממשלות וחא משנה מי עושים טעויות על חשבון האזרחים . הם מוגנים. יש להם מהבטחים אישיים. יש להם כסף.. אנחנו לא סוג ב' (האזרחים)"
1863881,29/02/2024 17:06,אין 
1863929,29/02/2024 13:10,לצערי לא ניתן לסמוך על השבכ ולא על ראש אמן והרמטכל ושר הבטחון ; כולם אשמים במחדל הקשה וצריכים לתת את הדין ולהיות אתמול מפוטרים 
1863999,29/02/2024 13:47,לא בכל מחיר; להעצים את הלחימה ולהשתלט מהר על רפיח; וזה כבר יגרום לעסקה מהירה
1864060,29/02/2024 20:32,קבינט מצומצם וגם ממשלה
1864178,29/02/2024 14:46,"שב""כ ומוסד יודע יותר מכולם מה נכון לעשות"
1864205,29/02/2024 15:04,יחד ננצח
1864212,29/02/2024 12:39,עדיף שכול הממשלה תצביע וזה הכי הגון
1864341,29/02/2024 13:37,צריך לשחרר את החטופים ללא תנאי
1864780,29/02/2024 20:07,בחלק מהשאלות היה ניתן למצוא 'ביניים'. למשל 5 ימים לכל שבוי ולא 1 או 10
1870403,29/02/2024 15:10,מי שמנהל את הלחיצה צריך להחליט במקרה הזה הקבינט
1870452,29/02/2024 19:27,No
1870762,29/02/2024 19:39,צריך להקשיב לדעת העם
1870980,29/02/2024 18:21,.
1871322,29/02/2024 23:36,אין לפרט
1871331,29/02/2024 17:02,הכי חשוב להחזיר אותם
1871719,29/02/2024 16:20,אין מה לפרט
1872028,01/03/2024 18:32, להשוות כל השווים ולהפסיק לחימה ולהגדיר מדינה לשני עמים 
1872039,01/03/2024 8:15,בעלי ידע והניסיון 
1872317,29/02/2024 20:43,העיקר לסיים את המלחמה כמה שאפשר ושכל האנשים יחזרו למשפחותיהם 
1872428,29/02/2024 13:09,רק שיחזרו
1872479,29/02/2024 17:12,לשבכ ולמוסד יש יותר נסיון
1872528,29/02/2024 14:12,פירוט
1874921,01/03/2024 1:01,לשחרר את החטופים רק בניצחון על האוייב והבסה שלא
1875019,29/02/2024 17:41,אין
