id,ext_id,start,finish,Q2,Q3,Q4,Q5,Q6 ,col_1,col_2,col_3,col_6,col_8,col_9,col_10,col_12,col_13,col_14,col_15,col_16,col_21,col_22,col_30,col_42,col_425,col_2581,device_type
269291.00,#NULL!,2024-03-01 08:23:35,2024-03-01 08:25:20,2.00,2.00,2.00,5.00,מוכן לעיסקה לא בכול מחיר,1.00,6.00,6.00,1091.00,1.00,1.00,1.00,9.00,1.00,3.00,32.00,31.00,2.00,1.00,46.00,2.00,10.00,1.00,2.00
270782.00,#NULL!,2024-02-29 12:20:55,2024-02-29 12:23:15,1.00,1.00,1.00,1.00,דם חיילנו לא הפקר ; את עזה היה צריך למחוק מלמעלה עם כמה שפחות סכנה לחיילנו ; בכל מלחמה יש קורבנות - אין צורך להגדיל אותם בשביל להחזיר חטופים - בנתיים מתו יותר חיילים מכמות החטופים ששם.כואב אבל נכון.,2.00,4.00,2.00,35.00,3.00,3.00,7.00,5.00,1.00,6.00,6.00,40.00,4.00,6.00,29.00,1.00,0.00,3.00,3.00
272279.00,#NULL!,2024-02-29 11:46:59,2024-02-29 11:48:31,2.00,3.00,1.00,1.00,שבויים צריכים לחזור ,1.00,5.00,4.00,62.00,1.00,4.00,1.00,8.00,14.00,2.00,14.00,14.00,2.00,2.00,36.00,1.00,14.00,2.00,3.00
359779.00,#NULL!,2024-03-02 14:42:42,2024-03-02 14:43:56,3.00,3.00,1.00,1.00,אין מה לפרט,1.00,6.00,4.00,62.00,1.00,1.00,1.00,8.00,1.00,1.00,32.00,32.00,3.00,3.00,43.00,1.00,100.00,2.00,2.00
381082.00,#NULL!,2024-02-29 12:00:32,2024-02-29 12:03:00,3.00,3.00,2.00,2.00,חשוב לשמוע את דעתם של אנשי הביטחון מוסד שבכ אבל ההחלטה חייבת להיות בקבינט המצומצם ,1.00,6.00,1.00,11.00,2.00,5.00,1.00,7.00,1.00,3.00,31.00,31.00,4.00,4.00,47.00,1.00,22.00,3.00,3.00
381483.00,#NULL!,2024-03-01 12:36:57,2024-03-01 12:38:40,2.00,3.00,1.00,2.00,אמל,1.00,7.00,2.00,33.00,1.00,1.00,1.00,6.00,31.00,1.00,34.00,31.00,1.00,2.00,75.00,1.00,1.00,3.00,1.00
381907.00,#NULL!,2024-02-29 13:30:35,2024-02-29 13:31:50,5.00,2.00,2.00,5.00,בכל מקרה תהיה זירת לחימה נוספת אחרי השבויים יחזרו,1.00,5.00,5.00,69.00,1.00,3.00,1.00,8.00,1.00,1.00,34.00,34.00,2.00,2.00,32.00,2.00,45.00,1.00,2.00
439963.00,#NULL!,2024-02-29 14:54:35,2024-02-29 14:56:10,3.00,3.00,2.00,1.00,ישראל לא צריכה להיכנע לסחטנות של חמאס. רק זה יציל את החטופים,2.00,6.00,3.00,49.00,1.00,5.00,1.00,8.00,1.00,3.00,1.00,1.00,4.00,3.00,43.00,1.00,12.00,2.00,1.00
440048.00,#NULL!,2024-02-29 13:12:19,2024-02-29 13:17:04,5.00,5.00,1.00,1.00,הסיוט הגדול ביותר שלנו התקיים. אני קמה בבוקר והולכת לישון עם מחשבה על החטופים והפצועים והמשפחות השכולות. מי שלא איתנו לא סובל. אני לא מכירה אף אחד מהחטופים ואני חושבת שזה כאב של כולנו. אני לא סומכת על הממשלה ולא על העומד בראשה. צריך שינוי. אני מסורתית ; ימין מרכז ובכל אופן חושבת שהשנה האחרונה עם ממשלת ביבי המיטה עלינו אסונות בזה אחרי זה. אבל הכי חשוב; להחזיר אותם הביתה ,2.00,7.00,3.00,55.00,5.00,3.00,1.00,9.00,1.00,1.00,6.00,1.00,4.00,4.00,60.00,2.00,42.00,5.00,3.00
453512.00,#NULL!,2024-02-29 12:09:06,2024-02-29 12:11:21,2.00,2.00,2.00,1.00,נדרש להעריך מסוכנות של כל אסיר משוחרר והפוטנציאל לסיכון חיי אדם נוספים עקב שחרורו. בנוסף לדעתי אין בשום פנים ואופן לשחרר אסירים חיים תמורת גופות חטופים,2.00,5.00,3.00,49.00,1.00,5.00,7.00,8.00,14.00,2.00,14.00,14.00,4.00,3.00,38.00,1.00,24.00,2.00,2.00
512701.00,#NULL!,2024-02-29 12:05:38,2024-02-29 12:10:07,3.00,2.00,1.00,5.00,אין לי מה לפרט,2.00,4.00,3.00,48.00,2.00,5.00,1.00,2.00,1.00,1.00,1.00,1.00,6.00,6.00,28.00,1.00,100.00,5.00,1.00
520946.00,#NULL!,2024-02-29 12:16:05,2024-02-29 12:17:04,1.00,1.00,1.00,5.00,העם צריך לקבוע את ההחלטות לאחר שכל המוסדות נכשלו,2.00,4.00,3.00,44.00,1.00,3.00,1.00,7.00,1.00,1.00,1.00,1.00,2.00,1.00,23.00,1.00,4.00,5.00,3.00
524620.00,#NULL!,2024-02-29 13:51:38,2024-02-29 13:52:34,5.00,3.00,1.00,2.00,הגוף השקול ביותר,1.00,5.00,4.00,61.00,1.00,5.00,1.00,8.00,1.00,1.00,1.00,1.00,5.00,2.00,35.00,1.00,19.00,5.00,1.00
548903.00,#NULL!,2024-02-29 14:03:18,2024-02-29 14:04:48,2.00,3.00,1.00,5.00,חושבת ששחרור החטופים בעדיפות עליונה אבל צתטערת לא בכל מחיר לא במחיר של רצי של יהודים נוספים אם נפסיק את הלחימה ונשחרר רוצחים,2.00,5.00,2.00,35.00,2.00,4.00,1.00,8.00,1.00,2.00,15.00,15.00,1.00,1.00,35.00,1.00,100.00,3.00,2.00
550636.00,#NULL!,2024-02-29 12:17:09,2024-02-29 12:17:54,2.00,2.00,2.00,3.00,לא בכל מחיר ,1.00,6.00,3.00,1065.00,1.00,6.00,1.00,7.00,1.00,1.00,1.00,1.00,2.00,4.00,41.00,2.00,26.00,2.00,2.00
550801.00,#NULL!,2024-03-02 21:01:02,2024-03-02 21:02:28,5.00,5.00,2.00,3.00,כל החלטה נכונה ומדוייקת שתתקבל בקבינט הבטחוני,1.00,5.00,2.00,34.00,2.00,2.00,1.00,8.00,1.00,2.00,1.00,1.00,1.00,1.00,36.00,3.00,44.00,3.00,1.00
563064.00,#NULL!,2024-02-29 16:49:11,2024-02-29 16:49:50,5.00,2.00,1.00,2.00,לשחרר ,2.00,5.00,1.00,19.00,3.00,3.00,1.00,8.00,1.00,3.00,14.00,47.00,1.00,1.00,36.00,1.00,19.00,3.00,3.00
577859.00,#NULL!,2024-02-29 12:17:37,2024-02-29 12:18:11,2.00,3.00,1.00,2.00,jbjklj,2.00,5.00,1.00,11.00,2.00,5.00,1.00,8.00,1.00,3.00,1.00,1.00,2.00,3.00,39.00,1.00,27.00,3.00,1.00
591096.00,#NULL!,2024-02-29 18:44:40,2024-02-29 18:50:29,3.00,2.00,2.00,1.00,"אני בעד מתווה לשחרור חטופים; גבול אדום עיקרי הוא הפסקת הלחימה. כל השאר יותר דינאמי יותר; בתנאי שניתן יהיה בטחונית לצמצם את הנזק במהלך הלחימה. מבחינתי התנאים שסימנתי אלה קווים מנחים שסביבם ניתן לשחק; בעדיפות להקטין כמה שאפשר את המפתחות של האסירים והימים (בעיקר חומרת האסיר) ע""י משא ומתן ולחץ צבאי גבוה ככל הניתן; כל עוד לא נחתם הסכם. ",2.00,4.00,2.00,33.00,1.00,5.00,1.00,8.00,1.00,1.00,16.00,16.00,3.00,1.00,30.00,1.00,18.00,3.00,1.00
596687.00,#NULL!,2024-03-01 11:46:05,2024-03-01 11:46:59,3.00,2.00,1.00,1.00,ללא פירוט נוסף,1.00,6.00,3.00,49.00,1.00,1.00,1.00,8.00,1.00,1.00,21.00,21.00,2.00,5.00,43.00,2.00,16.00,2.00,1.00
609268.00,#NULL!,2024-02-29 14:37:56,2024-02-29 14:39:49,3.00,3.00,1.00,1.00,. ,2.00,6.00,3.00,44.00,2.00,6.00,1.00,9.00,9.00,3.00,9.00,9.00,3.00,3.00,50.00,1.00,100.00,5.00,2.00
619359.00,#NULL!,2024-02-29 19:34:23,2024-02-29 19:36:06,5.00,5.00,1.00,5.00,הממשלה לא מתפקדת. נתניהו שבוי בידי הזויים קיצוניים.משאל עם יכריע בסוגיה כה חשובה; מה המחיר שאנו מוכנים לשלם כדי להשיב את החטופים,2.00,7.00,3.00,44.00,2.00,6.00,1.00,7.00,1.00,1.00,36.00,18.00,5.00,5.00,63.00,1.00,19.00,5.00,1.00
639725.00,#NULL!,2024-02-29 15:27:08,2024-02-29 15:29:41,2.00,2.00,1.00,1.00,כל העסקה אמורה להיות באופן מיידי אחרת אין טעם וכמובן לא לסכן שוב אזרחים במדינת ישראל,2.00,4.00,3.00,48.00,2.00,3.00,0.00,8.00,0.00,1.00,0.00,0.00,2.00,1.00,28.00,2.00,40.00,5.00,1.00
651042.00,#NULL!,2024-02-29 11:37:39,2024-02-29 11:39:15,2.00,2.00,1.00,1.00,סאת לא צריכה להיות החלטה של כל העם,2.00,5.00,6.00,73.00,2.00,5.00,1.00,8.00,1.00,2.00,1.00,16.00,4.00,5.00,32.00,3.00,12.00,2.00,2.00
672919.00,#NULL!,2024-03-01 09:15:35,2024-03-01 09:22:09,3.00,2.00,1.00,1.00,שהאנשים המקצועיים יטפלו בנושא ולא הממשלה שמנותקת מהמציאות. כדוגמה המשפט שגולדקנופף אמר: מה קשורה המלחמה לממשלה-אין קשר,2.00,7.00,1.00,830.00,2.00,2.00,1.00,8.00,1.00,0.00,0.00,0.00,4.00,4.00,60.00,1.00,24.00,3.00,2.00
674338.00,#NULL!,2024-03-01 16:20:22,2024-03-01 16:22:45,3.00,2.00,2.00,2.00,צריך לעשות את המירב לשיחרור החטופים,1.00,7.00,3.00,39.00,2.00,2.00,1.00,6.00,1.00,1.00,32.00,1.00,1.00,2.00,70.00,1.00,100.00,5.00,1.00
676370.00,#NULL!,2024-03-01 08:34:18,2024-03-01 08:35:37,5.00,5.00,1.00,1.00,הם הכי מתאימים,1.00,7.00,3.00,52.00,2.00,2.00,1.00,10.00,1.00,2.00,1.00,1.00,4.00,5.00,61.00,1.00,35.00,2.00,2.00
699235.00,#NULL!,2024-02-29 12:38:41,2024-02-29 12:39:37,2.00,2.00,1.00,3.00,עחיעחע,2.00,5.00,2.00,35.00,2.00,5.00,1.00,8.00,1.00,5.00,1.00,1.00,3.00,1.00,32.00,3.00,24.00,3.00,1.00
722745.00,#NULL!,2024-02-29 12:28:03,2024-02-29 12:29:47,3.00,3.00,1.00,5.00,לא רוצים עסקת שליט 2; ולא שום כניעה לארגון טרור. ממילא זה טוב לראות את דעת הציבור; כמובן בהתאם גם להחלטות אנשי הבטחון.,2.00,4.00,5.00,69.00,2.00,4.00,1.00,8.00,1.00,4.00,1.00,1.00,1.00,1.00,29.00,4.00,10.00,1.00,1.00
752915.00,#NULL!,2024-02-29 11:43:21,2024-02-29 11:46:57,2.00,1.00,1.00,1.00,חשוב לא להיות נחמדים מידי עם החמאס; לא לתת להם בכל מחיר,2.00,5.00,3.00,44.00,2.00,5.00,1.00,8.00,1.00,3.00,1.00,1.00,2.00,2.00,31.00,4.00,19.00,5.00,2.00
825165.00,#NULL!,2024-02-29 11:43:33,2024-02-29 11:45:05,2.00,2.00,2.00,2.00,הם מקבלי החלטות ורואים את הכל,2.00,5.00,0.00,0.00,2.00,1.00,1.00,8.00,1.00,3.00,24.00,24.00,4.00,3.00,37.00,2.00,44.00,0.00,3.00
826073.00,#NULL!,2024-02-29 12:49:00,2024-02-29 12:50:17,1.00,1.00,1.00,5.00,לא לשחרר חטופים במחיר יקר כל כך של שחרור מחבלים כי אם כן המלחמה הייתה לשווא,1.00,5.00,7.00,67.00,2.00,5.00,1.00,8.00,1.00,0.00,1.00,1.00,4.00,3.00,31.00,2.00,26.00,4.00,2.00
826735.00,#NULL!,2024-02-29 14:42:52,2024-02-29 15:48:06,2.00,2.00,2.00,3.00,כל עסקת שבויים שתהיה לא אמורה לסכן אנשים בישראל.שחרור מחבלים מסוכנים -סכנה קיומית ליהודים,2.00,7.00,7.00,67.00,2.00,6.00,1.00,6.00,1.00,1.00,28.00,28.00,1.00,3.00,61.00,4.00,19.00,4.00,1.00
831231.00,#NULL!,2024-02-29 15:02:24,2024-02-29 15:04:51,2.00,5.00,1.00,1.00,לא,1.00,7.00,3.00,52.00,2.00,2.00,1.00,6.00,18.00,1.00,41.00,16.00,1.00,1.00,77.00,2.00,100.00,2.00,1.00
838441.00,#NULL!,2024-03-01 08:11:01,2024-03-01 08:18:50,5.00,5.00,3.00,1.00,"אני סומך על השב""כ והמוסד שיביאו לתוצאה הטובה ביותר; מכוון שהם מוסדות מהטובים בעולם ולא מוטים פוליטית; למרות הכשלון המודיעיני ב7/10.ראש הממשלה שלנו מושחת ואי אפשר לסמוך עליו.נראה לי שאין טעם בהעמקת המלחמה בעזה; מכוון שזה כבר לא ישנה משמעותית את תוצאת היום שאחרי.כשמורדים ארגון טרור אחד; צומח אחריו ארגון טרור אחר.רק פתרון מדיני שכואב לשני הצדדים יביא לנו רגיעה.",1.00,7.00,2.00,402.00,1.00,1.00,1.00,6.00,1.00,1.00,14.00,14.00,3.00,3.00,77.00,1.00,100.00,3.00,1.00
842899.00,#NULL!,2024-03-01 08:42:10,2024-03-01 08:45:42,1.00,3.00,2.00,5.00,פשוט מאד חובה למצוא דרך לשיחרור החטופים שלנו וכמה דיותר מהר אך לא לוותר ולדחרר שבויים של האויב בכמויות ולא עם דם על הידיים,2.00,7.00,5.00,69.00,1.00,1.00,1.00,6.00,10.00,1.00,10.00,10.00,6.00,6.00,67.00,3.00,0.00,1.00,2.00
843150.00,#NULL!,2024-02-29 21:01:53,2024-02-29 21:03:55,5.00,5.00,2.00,2.00,בהתאם להמלצות הדרג הבטחוני והשבכ,2.00,7.00,3.00,49.00,3.00,2.00,1.00,6.00,1.00,1.00,42.00,42.00,1.00,1.00,77.00,1.00,0.00,2.00,3.00
851571.00,#NULL!,2024-02-29 20:47:26,2024-02-29 20:48:42,2.00,1.00,2.00,2.00,אין פירוט ,2.00,4.00,2.00,1143.00,2.00,3.00,1.00,8.00,1.00,0.00,1.00,1.00,1.00,1.00,29.00,2.00,1.00,3.00,2.00
852975.00,#NULL!,2024-02-29 22:38:51,2024-02-29 22:40:25,2.00,2.00,1.00,2.00,אין לי מה להוסיף ,2.00,7.00,3.00,49.00,2.00,3.00,1.00,8.00,1.00,1.00,6.00,6.00,1.00,1.00,56.00,4.00,1.00,2.00,1.00
869102.00,#NULL!,2024-02-29 11:59:15,2024-02-29 12:00:09,3.00,3.00,1.00,1.00,הכי חשוב לשחרר את החטופים,2.00,5.00,3.00,0.00,2.00,5.00,1.00,8.00,1.00,3.00,1.00,1.00,3.00,4.00,36.00,1.00,19.00,0.00,2.00
878377.00,#NULL!,2024-02-29 13:51:27,2024-02-29 13:53:01,5.00,5.00,1.00,5.00,להחזיר את החטופים עכשיובכל מחיר,1.00,7.00,2.00,710.00,2.00,4.00,7.00,6.00,1.00,1.00,41.00,41.00,3.00,3.00,71.00,1.00,100.00,3.00,2.00
880061.00,#NULL!,2024-02-29 18:37:46,2024-02-29 18:43:11,2.00,3.00,2.00,1.00,לדעתי צריך שייהיה מתווה לשחרר אסיר תמורת שבויי .או הפסקת מלחמה תמורת שחרור שבויים ורק אחרי שהצבא יסיים את כול היעדים שהציב לעצמו ,2.00,7.00,7.00,75.00,5.00,2.00,1.00,5.00,1.00,1.00,31.00,31.00,3.00,3.00,59.00,2.00,100.00,4.00,1.00
899571.00,#NULL!,2024-02-29 21:12:43,2024-02-29 21:14:17,1.00,1.00,1.00,2.00,זה אמור לנבוע מתוך שיקולים ענייניים בלבד,1.00,5.00,0.00,0.00,1.00,1.00,1.00,8.00,1.00,3.00,1.00,1.00,1.00,1.00,37.00,3.00,19.00,0.00,1.00
910880.00,#NULL!,2024-02-29 12:44:43,2024-02-29 12:46:09,5.00,4.00,1.00,1.00,להסכם ; ולשלום,1.00,4.00,1.00,1118.00,1.00,5.00,2.00,8.00,1.00,1.00,1.00,1.00,2.00,3.00,28.00,3.00,21.00,3.00,3.00
911690.00,#NULL!,2024-02-29 20:43:58,2024-02-29 20:45:06,5.00,3.00,1.00,1.00,צריך להחזיר אותם הביתה עכשיו!,2.00,5.00,3.00,856.00,2.00,6.00,1.00,8.00,1.00,4.00,1.00,10.00,5.00,4.00,35.00,3.00,12.00,4.00,3.00
916180.00,#NULL!,2024-02-29 14:41:53,2024-02-29 15:00:20,3.00,2.00,2.00,2.00,אין לי מה לפרט,2.00,7.00,5.00,69.00,2.00,6.00,1.00,6.00,1.00,1.00,41.00,41.00,4.00,4.00,68.00,4.00,19.00,1.00,3.00
954936.00,#NULL!,2024-02-29 20:44:16,2024-02-29 20:45:04,1.00,1.00,1.00,3.00,אין פירוט,1.00,5.00,3.00,49.00,1.00,2.00,1.00,11.00,1.00,1.00,1.00,1.00,1.00,1.00,35.00,2.00,100.00,2.00,2.00
957663.00,#NULL!,2024-02-29 18:10:32,2024-02-29 18:12:57,2.00,1.00,1.00,1.00,אם אפשר לאחר שכולם שוחררו ..לפוצץ אותם בלי רחמים את כל המחבלים,2.00,7.00,1.00,207.00,2.00,1.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,58.00,3.00,100.00,3.00,2.00
958187.00,#NULL!,2024-03-01 09:41:57,2024-03-01 09:49:55,2.00,2.00,2.00,3.00,תודה,1.00,6.00,2.00,29.00,2.00,2.00,1.00,4.00,8.00,6.00,38.00,8.00,2.00,2.00,48.00,4.00,19.00,3.00,1.00
1058314.00,#NULL!,2024-02-29 18:16:51,2024-02-29 18:18:01,5.00,5.00,1.00,5.00,חיי החטופים חשובים מכול!,2.00,7.00,2.00,0.00,1.00,1.00,1.00,6.00,1.00,1.00,18.00,1.00,1.00,1.00,75.00,1.00,100.00,0.00,1.00
1062177.00,#NULL!,2024-02-29 18:48:03,2024-02-29 18:50:32,3.00,2.00,2.00,1.00,צריך להתחשב גם בעשרה מיליון שחיים בארץ ולא למהר לשחרר רוצחים שיאיימו על הביטחון האישי. כמובן לדאוג ולנסות להחזיר שבויים,2.00,6.00,4.00,65.00,1.00,6.00,1.00,8.00,1.00,1.00,1.00,42.00,4.00,3.00,41.00,2.00,19.00,2.00,2.00
1063811.00,#NULL!,2024-03-01 08:09:43,2024-03-01 08:11:57,2.00,1.00,1.00,1.00,יש להקשיב לשבכ והמוסד אך ייתכן ועדיף גם לעשות משאל עם לאחר שמיעת דעותיהם.,2.00,7.00,7.00,75.00,1.00,1.00,1.00,8.00,1.00,0.00,42.00,14.00,1.00,1.00,53.00,1.00,40.00,4.00,3.00
1066207.00,#NULL!,2024-02-29 13:26:38,2024-02-29 13:28:14,3.00,1.00,1.00,2.00,לא צריך להסכים לכל דבר צריך לסיים את הלחימה בעזה ולנצחון של ישראל על כל המחבלים למען יראו ויראו שיפחדו מאיתנו שאנחנו לא אפסים כמו שהיינו במשך  75 שנה מאז קום המדינה ,2.00,5.00,2.00,36.00,2.00,3.00,1.00,8.00,1.00,3.00,36.00,36.00,3.00,3.00,40.00,1.00,40.00,3.00,1.00
1066991.00,#NULL!,2024-03-02 16:37:52,2024-03-02 16:39:53,5.00,3.00,1.00,1.00,צריכים לעשות הכל כדי להוציא אותם משם; העיקר שחמאס יפסיק לשחק עם חיי אדם; צריך להפוך את זה לכמה שפחות משחק פוליטי כך שתהיה התנגדות גורמים פוליטיים לעסקה מסיבותם הפוליטיות,1.00,4.00,3.00,49.00,1.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,4.00,1.00,22.00,1.00,0.00,2.00,2.00
1069957.00,#NULL!,2024-02-29 18:06:02,2024-02-29 18:07:23,5.00,4.00,1.00,1.00,צריך להחזיר את השבויים המסכנים בדחיפות,1.00,7.00,4.00,0.00,1.00,1.00,1.00,8.00,1.00,3.00,28.00,28.00,3.00,3.00,53.00,2.00,18.00,0.00,2.00
1125350.00,#NULL!,2024-02-29 15:54:24,2024-02-29 15:55:32,2.00,3.00,1.00,1.00,לא יודעת,2.00,5.00,1.00,12.00,2.00,3.00,1.00,11.00,1.00,3.00,36.00,36.00,1.00,1.00,31.00,2.00,29.00,3.00,2.00
1130213.00,#NULL!,2024-03-01 09:26:06,2024-03-01 09:26:58,5.00,5.00,1.00,1.00,שיחזירו אותם כבר איזה מחדל נוראי תמורת כל מה שיידרש,2.00,6.00,4.00,65.00,1.00,1.00,1.00,11.00,10.00,4.00,1.00,1.00,2.00,6.00,45.00,1.00,14.00,2.00,2.00
1130520.00,#NULL!,2024-03-01 08:44:34,2024-03-01 08:46:15,1.00,1.00,1.00,5.00,שהעם יחליט בנושא זה,1.00,5.00,5.00,69.00,2.00,6.00,1.00,8.00,1.00,7.00,1.00,1.00,5.00,3.00,36.00,4.00,17.00,1.00,2.00
1142539.00,#NULL!,2024-02-29 16:24:46,2024-02-29 16:28:26,3.00,3.00,2.00,3.00,?!,2.00,7.00,2.00,33.00,1.00,1.00,1.00,8.00,16.00,1.00,0.00,14.00,1.00,1.00,68.00,1.00,2.00,3.00,2.00
1143133.00,#NULL!,2024-02-29 21:10:43,2024-02-29 21:11:55,2.00,2.00,1.00,5.00,לא להכנע לחמאס אבל חשוב מאוד לשחרר את כל החטופים,2.00,4.00,2.00,33.00,2.00,2.00,1.00,8.00,1.00,2.00,15.00,16.00,1.00,2.00,26.00,2.00,100.00,3.00,3.00
1144233.00,#NULL!,2024-02-29 17:41:51,2024-02-29 17:43:22,3.00,2.00,1.00,2.00,צריכים לעשות ויתורים כואבים ולהחזיר את השבויים.,1.00,7.00,4.00,64.00,2.00,5.00,1.00,8.00,1.00,1.00,42.00,42.00,4.00,4.00,66.00,2.00,24.00,2.00,2.00
1144362.00,#NULL!,2024-02-29 12:47:34,2024-02-29 12:48:47,2.00,2.00,1.00,1.00,אין מה לפרט נושא כואב,2.00,5.00,1.00,1105.00,2.00,5.00,1.00,8.00,1.00,0.00,0.00,0.00,0.00,2.00,34.00,4.00,19.00,3.00,2.00
